Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
7500;25.03;25.0;120.0;255.0
7530;25.0;25.0;120.0;255.0
7560;24.99;25.0;120.0;255.0
7590;24.95;25.0;120.0;255.0
7620;24.89;25.0;120.0;255.0
7650;24.96;25.0;120.0;255.0
7680;25.03;25.0;120.0;255.0
7710;25.03;25.0;120.0;255.0
7740;25.01;25.0;120.0;255.0
7770;25.03;25.0;120.0;255.0
7800;25.03;25.0;120.0;255.0
7830;25.01;25.0;120.0;255.0
7860;24.99;25.0;120.0;255.0
7890;24.96;25.0;120.0;255.0
7920;24.92;25.0;120.0;255.0
7950;24.9;25.0;120.0;255.0
7980;24.96;25.0;120.0;255.0
8010;25.03;25.0;120.0;255.0
8040;25.07;25.0;120.0;255.0
8070;25.05;25.0;120.0;255.0
8100;25.03;25.0;120.0;255.0
8130;25.01;25.0;120.0;255.0
8160;24.99;25.0;120.0;255.0
8190;24.99;25.0;120.0;255.0
8220;24.99;25.0;120.0;255.0
8250;24.98;25.0;120.0;255.0
8280;24.96;25.0;120.0;255.0
8310;24.94;25.0;120.0;255.0
8340;24.9;25.0;120.0;255.0
8370;24.98;25.0;120.0;255.0
8400;25.06;25.0;120.0;255.0
8430;25.06;25.0;120.0;255.0
8460;25.05;25.0;120.0;255.0
8490;25.03;25.0;120.0;255.0
8520;25.03;25.0;120.0;255.0
8550;25.0;25.0;120.0;255.0
8580;24.99;25.0;120.0;255.0
8610;24.98;25.0;120.0;255.0
8640;24.96;25.0;120.0;255.0
8670;24.9;25.0;120.0;255.0
8700;24.92;25.0;120.0;255.0
8730;25.01;25.0;120.0;255.0
8760;25.07;25.0;120.0;255.0
8790;25.09;25.0;120.0;255.0
8820;25.06;25.0;120.0;255.0
8850;25.03;25.0;120.0;255.0
8880;25.01;25.0;120.0;255.0
8910;25.01;25.0;120.0;255.0
8940;25.0;25.0;120.0;255.0
8970;24.99;25.0;120.0;255.0
